film,year,award,winner,name,age,
A Place in the Sun,1952,Best Actor,nominee,Montgomery Clift,31,25-35
A Streetcar Named Desire,1952,Best Actor,nominee,Marlon Brando,27,25-35
A Streetcar Named Desire,1952,Best Actress,winner,Vivien Leigh,38,35-45
The African Queen,1952,Best Actress,nominee,Katharine Hepburn,44,35-45
The Blue Veil,1952,Best Actress,nominee,Jane Wyman,35,35-45
A Place in the Sun,1952,Best Actress,nominee,Shelley Winters,31,25-35
Detective Story,1952,Best Actress,nominee,Eleanor Parker,29,25-35
A Streetcar Named Desire,1952,Best Supporting Actor,winner,Karl Malden,40,35-45
Quo Vadis,1952,Best Supporting Actor,nominee,Leo Genn,46,45-55
Come Fill the Cup,1952,Best Supporting Actor,nominee,Gig Young,38,35-45
Death of a Salesman,1952,Best Supporting Actor,nominee,Kevin McCarthy,38,35-45
Quo Vadis,1952,Best Supporting Actor,nominee,Peter Ustinov,30,25-35
A Streetcar Named Desire,1952,Best Supporting Actress,winner,Kim Hunter,29,25-35
Death of a Salesman,1952,Best Supporting Actress,nominee,Mildred Dunnock,51,45-55
The Mating Season,1952,Best Supporting Actress,nominee,Thelma Ritter,50,45-55
The Blue Veil,1952,Best Supporting Actress,nominee,Joan Blondell,45,45-55
Detective Story,1952,Best Supporting Actress,nominee,Lee Grant,26,25-35
High Noon,1953,Best Actor,winner,Gary Cooper,51,45-55
Moulin Rouge,1953,Best Actor,nominee,Jos_ Ferrer,41,35-45
The Lavender Hill Mob,1953,Best Actor,nominee,Alec Guinness,38,35-45
The Bad and the Beautiful,1953,Best Actor,nominee,Kirk Douglas,36,35-45
Viva Zapata!,1953,Best Actor,nominee,Marlon Brando,28,25-35
"Come Back, Little Sheba",1953,Best Actress,winner,Shirley Booth,54,45-55
Sudden Fear,1953,Best Actress,nominee,Joan Crawford,49,45-55
The Star,1953,Best Actress,nominee,Bette Davis,44,35-45
With a Song in My Heart,1953,Best Actress,nominee,Susan Hayward,35,35-45
The Member of the Wedding,1953,Best Actress,nominee,Julie Harris,27,25-35
Viva Zapata!,1953,Best Supporting Actor,winner,Anthony Quinn,37,35-45
The Quiet Man,1953,Best Supporting Actor,nominee,Victor McLaglen,66,> 65
The Big Sky,1953,Best Supporting Actor,nominee,Arthur Hunnicutt,43,35-45
Sudden Fear,1953,Best Supporting Actor,nominee,Jack Palance,34,25-35
My Cousin Rachel,1953,Best Supporting Actor,nominee,Richard Burton,27,25-35
The Bad and the Beautiful,1953,Best Supporting Actress,winner,Gloria Grahame,29,25-35
With a Song in My Heart,1953,Best Supporting Actress,nominee,Thelma Ritter,51,45-55
Singin' in the Rain,1953,Best Supporting Actress,nominee,Jean Hagen,29,25-35
Moulin Rouge,1953,Best Supporting Actress,nominee,Colette Marchand,27,25-35
"Come Back, Little Sheba",1953,Best Supporting Actress,nominee,Terry Moore,24,< 25
Stalag 17,1954,Best Actor,winner,William Holden,35,35-45
From Here to Eternity,1954,Best Actor,nominee,Burt Lancaster,40,35-45
From Here to Eternity,1954,Best Actor,nominee,Montgomery Clift,33,25-35
Julius Caesar,1954,Best Actor,nominee,Marlon Brando,29,25-35
The Robe,1954,Best Actor,nominee,Richard Burton,28,25-35
Roman Holiday,1954,Best Actress,winner,Audrey Hepburn,24,< 25
From Here to Eternity,1954,Best Actress,nominee,Deborah Kerr,32,25-35
Mogambo,1954,Best Actress,nominee,Ava Gardner,31,25-35
The Moon Is Blue,1954,Best Actress,nominee,Maggie McNamara,25,25-35
Lili,1954,Best Actress,nominee,Leslie Caron,22,< 25
From Here to Eternity,1954,Best Supporting Actor,winner,Frank Sinatra,38,35-45
Roman Holiday,1954,Best Supporting Actor,nominee,Eddie Albert,47,45-55
Stalag 17,1954,Best Supporting Actor,nominee,Robert Strauss,40,35-45
Shane,1954,Best Supporting Actor,nominee,Jack Palance,35,35-45
Shane,1954,Best Supporting Actor,nominee,Brandon De Wilde,11,< 25
From Here to Eternity,1954,Best Supporting Actress,winner,Donna Reed,33,25-35
Torch Song,1954,Best Supporting Actress,nominee,Marjorie Rambeau,64,55-65
Pickup on South Street,1954,Best Supporting Actress,nominee,Thelma Ritter,52,45-55
Hondo,1954,Best Supporting Actress,nominee,Geraldine Page,29,25-35
Mogambo,1954,Best Supporting Actress,nominee,Grace Kelly,24,< 25
On the Waterfront,1955,Best Actor,winner,Marlon Brando,31,25-35
The Caine Mutiny,1955,Best Actor,nominee,Humphrey Bogart,55,55-65
The Country Girl,1955,Best Actor,nominee,Bing Crosby,51,45-55
A Star Is Born,1955,Best Actor,nominee,James Mason,45,45-55
Adventures of Robinson Crusoe,1955,Best Actor,nominee,Dan O'Herlihy,35,35-45
The Country Girl,1955,Best Actress,winner,Grace Kelly,25,25-35
Magnificent Obsession,1955,Best Actress,nominee,Jane Wyman,38,35-45
A Star Is Born,1955,Best Actress,nominee,Judy Garland,32,25-35
Carmen Jones,1955,Best Actress,nominee,Dorothy Dandridge,32,25-35
Sabrina,1955,Best Actress,nominee,Audrey Hepburn,25,25-35
The Barefoot Contessa,1955,Best Supporting Actor,winner,Edmond O'Brien,39,35-45
The Caine Mutiny,1955,Best Supporting Actor,nominee,Tom Tully,46,45-55
On the Waterfront,1955,Best Supporting Actor,nominee,Lee J. Cobb,43,35-45
On the Waterfront,1955,Best Supporting Actor,nominee,Karl Malden,43,35-45
On the Waterfront,1955,Best Supporting Actor,nominee,Rod Steiger,29,25-35
On the Waterfront,1955,Best Supporting Actress,winner,Eva Marie Saint,30,25-35
The High and the Mighty,1955,Best Supporting Actress,nominee,Claire Trevor,45,45-55
The High and the Mighty,1955,Best Supporting Actress,nominee,Jan Sterling,34,25-35
Broken Lance,1955,Best Supporting Actress,nominee,Katy Jurado,31,25-35
Executive Suite,1955,Best Supporting Actress,nominee,Nina Foch,30,25-35
Marty,1956,Best Actor,winner,Ernest Borgnine,39,35-45
Love Me or Leave Me,1956,Best Actor,nominee,James Cagney,56,55-65
Bad Day at Black Rock,1956,Best Actor,nominee,Spencer Tracy,55,55-65
The Man with the Golden Arm,1956,Best Actor,nominee,Frank Sinatra,40,35-45
East of Eden,1956,Best Actor,nominee,James Dean,25,25-35
The Rose Tattoo,1956,Best Actress,winner,Anna Magnani,48,45-55
Summertime,1956,Best Actress,nominee,Katharine Hepburn,48,45-55
I'll Cry Tomorrow,1956,Best Actress,nominee,Susan Hayward,38,35-45
Love Is a Many-Splendored Thing,1956,Best Actress,nominee,Jennifer Jones,37,35-45
Interrupted Melody,1956,Best Actress,nominee,Eleanor Parker,33,25-35
Mister Roberts,1956,Best Supporting Actor,winner,Jack Lemmon,31,25-35
Picnic,1956,Best Supporting Actor,nominee,Arthur O'Connell,48,45-55
Trial,1956,Best Supporting Actor,nominee,Arthur Kennedy,42,35-45
Marty,1956,Best Supporting Actor,nominee,Joe Mantell,40,35-45
Rebel Without a Cause,1956,Best Supporting Actor,nominee,Sal Mineo,17,< 25
East of Eden,1956,Best Supporting Actress,winner,Jo Van Fleet,41,35-45
Pete Kelly's Blues,1956,Best Supporting Actress,nominee,Peggy Lee,35,35-45
Marty,1956,Best Supporting Actress,nominee,Betsy Blair,32,25-35
The Rose Tattoo,1956,Best Supporting Actress,nominee,Marisa Pavan,23,< 25
Rebel Without a Cause,1956,Best Supporting Actress,nominee,Natalie Wood,17,< 25
The King and I,1957,Best Actor,winner,Yul Brynner,36,35-45
Richard III,1957,Best Actor,nominee,Laurence Olivier,49,45-55
Lust for Life,1957,Best Actor,nominee,Kirk Douglas,40,35-45
Giant,1957,Best Actor,nominee,Rock Hudson,31,25-35
Giant,1957,Best Actor,nominee,James Dean,26,25-35
Anastasia,1957,Best Actress,winner,Ingrid Bergman,41,35-45
The Rainmaker,1957,Best Actress,nominee,Katharine Hepburn,49,45-55
The Bad Seed,1957,Best Actress,nominee,Nancy Kelly,36,35-45
The King and I,1957,Best Actress,nominee,Deborah Kerr,35,35-45
Baby Doll,1957,Best Actress,nominee,Carroll Baker,25,25-35
Lust for Life,1957,Best Supporting Actor,winner,Anthony Quinn,41,35-45
Written on the Wind,1957,Best Supporting Actor,nominee,Robert Stack,38,35-45
The Bold and the Brave,1957,Best Supporting Actor,nominee,Mickey Rooney,36,35-45
Bus Stop,1957,Best Supporting Actor,nominee,Don Murray,27,25-35
Friendly Persuasion,1957,Best Supporting Actor,nominee,Anthony Perkins,24,< 25
Written on the Wind,1957,Best Supporting Actress,winner,Dorothy Malone,32,25-35
Baby Doll,1957,Best Supporting Actress,nominee,Mildred Dunnock,56,55-65
Giant,1957,Best Supporting Actress,nominee,Mercedes McCambridge,41,35-45
The Bad Seed,1957,Best Supporting Actress,nominee,Eileen Heckart,38,35-45
The Bad Seed,1957,Best Supporting Actress,nominee,Patty McCormack,11,< 25
The Bridge on the River Kwai,1958,Best Actor,winner,Alec Guinness,44,35-45
Witness for the Prosecution,1958,Best Actor,nominee,Charles Laughton,58,55-65
Wild Is the Wind,1958,Best Actor,nominee,Anthony Quinn,42,35-45
Sayonara,1958,Best Actor,nominee,Marlon Brando,34,25-35
A Hatful of Rain,1958,Best Actor,nominee,Anthony Franciosa,29,25-35
The Three Faces of Eve,1958,Best Actress,winner,Joanne Woodward,28,25-35
Wild Is the Wind,1958,Best Actress,nominee,Anna Magnani,50,45-55
Peyton Place,1958,Best Actress,nominee,Lana Turner,37,35-45
"Heaven Knows, Mr. Allison",1958,Best Actress,nominee,Deborah Kerr,36,35-45
Raintree County,1958,Best Actress,nominee,Elizabeth Taylor,26,25-35
Sayonara,1958,Best Supporting Actor,winner,Red Buttons,39,35-45
The Bridge on the River Kwai,1958,Best Supporting Actor,nominee,Sessue Hayakawa,68,> 65
A Farewell to Arms,1958,Best Supporting Actor,nominee,Vittorio De Sica,56,55-65
Peyton Place,1958,Best Supporting Actor,nominee,Arthur Kennedy,44,35-45
Peyton Place,1958,Best Supporting Actor,nominee,Russ Tamblyn,23,< 25
Sayonara,1958,Best Supporting Actress,winner,Miyoshi Umeki,28,25-35
Witness for the Prosecution,1958,Best Supporting Actress,nominee,Elsa Lanchester,55,55-65
The Bachelor Party,1958,Best Supporting Actress,nominee,Carolyn Jones,27,25-35
Peyton Place,1958,Best Supporting Actress,nominee,Hope Lange,24,< 25
Peyton Place,1958,Best Supporting Actress,nominee,Diane Varsi,20,< 25
Separate Tables,1959,Best Actor,winner,David Niven,49,45-55
The Old Man and the Sea,1959,Best Actor,nominee,Spencer Tracy,59,55-65
Cat on a Hot Tin Roof,1959,Best Actor,nominee,Paul Newman,34,25-35
The Defiant Ones,1959,Best Actor,nominee,Tony Curtis,33,25-35
The Defiant Ones,1959,Best Actor,nominee,Sidney Poitier,32,25-35
I Want to Live!,1959,Best Actress,winner,Susan Hayward,41,35-45
Auntie Mame,1959,Best Actress,nominee,Rosalind Russell,51,45-55
Separate Tables,1959,Best Actress,nominee,Deborah Kerr,37,35-45
Cat on a Hot Tin Roof,1959,Best Actress,nominee,Elizabeth Taylor,27,25-35
Some Came Running,1959,Best Actress,nominee,Shirley MacLaine,24,< 25
The Big Country,1959,Best Supporting Actor,winner,Burl Ives,49,45-55
The Brothers Karamazov,1959,Best Supporting Actor,nominee,Lee J. Cobb,47,45-55
Teacher's Pet,1959,Best Supporting Actor,nominee,Gig Young,45,45-55
Some Came Running,1959,Best Supporting Actor,nominee,Arthur Kennedy,45,45-55
The Defiant Ones,1959,Best Supporting Actor,nominee,Theodore Bikel,34,25-35
Separate Tables,1959,Best Supporting Actress,winner,Wendy Hiller,46,45-55
Auntie Mame,1959,Best Supporting Actress,nominee,Peggy Cass,34,25-35
Some Came Running,1959,Best Supporting Actress,nominee,Martha Hyer,34,25-35
Lonelyhearts,1959,Best Supporting Actress,nominee,Maureen Stapleton,33,25-35
The Defiant Ones,1959,Best Supporting Actress,nominee,Cara Williams,33,25-35
Ben-Hur,1960,Best Actor,winner,Charlton Heston,36,35-45
The Last Angry Man,1960,Best Actor,nominee,Paul Muni,64,55-65
Anatomy of a Murder,1960,Best Actor,nominee,James Stewart,51,45-55
Some Like It Hot,1960,Best Actor,nominee,Jack Lemmon,35,35-45
Room at the Top,1960,Best Actor,nominee,Laurence Harvey,31,25-35
Room at the Top,1960,Best Actress,winner,Simone Signoret,39,35-45
"Suddenly, Last Summer",1960,Best Actress,nominee,Katharine Hepburn,52,45-55
Pillow Talk,1960,Best Actress,nominee,Doris Day,38,35-45
The Nun's Story,1960,Best Actress,nominee,Audrey Hepburn,30,25-35
"Suddenly, Last Summer",1960,Best Actress,nominee,Elizabeth Taylor,28,25-35
Ben-Hur,1960,Best Supporting Actor,winner,Hugh Griffith,47,45-55
The Diary of Anne Frank,1960,Best Supporting Actor,nominee,Ed Wynn,73,> 65
Anatomy of a Murder,1960,Best Supporting Actor,nominee,Arthur O'Connell,52,45-55
Anatomy of a Murder,1960,Best Supporting Actor,nominee,George C. Scott,32,25-35
The Young Philadelphians,1960,Best Supporting Actor,nominee,Robert Vaughn,27,25-35
The Diary of Anne Frank,1960,Best Supporting Actress,winner,Shelley Winters,39,35-45
Pillow Talk,1960,Best Supporting Actress,nominee,Thelma Ritter,58,55-65
Room at the Top,1960,Best Supporting Actress,nominee,Hermione Baddeley,53,45-55
Imitation of Life,1960,Best Supporting Actress,nominee,Juanita Moore,37,35-45
Imitation of Life,1960,Best Supporting Actress,nominee,Susan Kohner,23,< 25
Elmer Gantry,1961,Best Actor,winner,Burt Lancaster,47,45-55
Inherit the Wind,1961,Best Actor,nominee,Spencer Tracy,61,55-65
The Entertainer,1961,Best Actor,nominee,Laurence Olivier,53,45-55
Sons and Lovers,1961,Best Actor,nominee,Trevor Howard,47,45-55
The Apartment,1961,Best Actor,nominee,Jack Lemmon,36,35-45
Butterfield 8,1961,Best Actress,winner,Elizabeth Taylor,29,25-35
Sunrise at Campobello,1961,Best Actress,nominee,Greer Garson,56,55-65
Never on Sunday,1961,Best Actress,nominee,Melina Mercouri,40,35-45
The Sundowners,1961,Best Actress,nominee,Deborah Kerr,39,35-45
The Apartment,1961,Best Actress,nominee,Shirley MacLaine,27,25-35
Spartacus,1961,Best Supporting Actor,winner,Peter Ustinov,40,35-45
The Alamo,1961,Best Supporting Actor,nominee,Chill Wills,58,55-65
The Apartment,1961,Best Supporting Actor,nominee,Jack Kruschen,39,35-45
"Murder, Inc.",1961,Best Supporting Actor,nominee,Peter Falk,33,25-35
Exodus,1961,Best Supporting Actor,nominee,Sal Mineo,22,< 25
Elmer Gantry,1961,Best Supporting Actress,winner,Shirley Jones,27,25-35
The Sundowners,1961,Best Supporting Actress,nominee,Glynis Johns,37,35-45
Psycho,1961,Best Supporting Actress,nominee,Janet Leigh,33,25-35
Sons and Lovers,1961,Best Supporting Actress,nominee,Mary Ure,28,25-35
The Dark at the Top of the Stairs,1961,Best Supporting Actress,nominee,Shirley Knight,24,< 25
Judgment at Nuremberg,1962,Best Actor,winner,Maximilian Schell,31,25-35
Fanny,1962,Best Actor,nominee,Charles Boyer,62,55-65
Judgment at Nuremberg,1962,Best Actor,nominee,Spencer Tracy,62,55-65
The Hustler,1962,Best Actor,nominee,Paul Newman,37,35-45
The Mark,1962,Best Actor,nominee,Stuart Whitman,34,25-35
Two Women,1962,Best Actress,winner,Sophia Loren,27,25-35
Summer and Smoke,1962,Best Actress,nominee,Geraldine Page,37,35-45
Breakfast at Tiffany's,1962,Best Actress,nominee,Audrey Hepburn,32,25-35
The Hustler,1962,Best Actress,nominee,Piper Laurie,30,25-35
Splendor in the Grass,1962,Best Actress,nominee,Natalie Wood,23,< 25
West Side Story,1962,Best Supporting Actor,winner,George Chakiris,27,25-35
The Hustler,1962,Best Supporting Actor,nominee,Jackie Gleason,46,45-55
Judgment at Nuremberg,1962,Best Supporting Actor,nominee,Montgomery Clift,41,35-45
Pocketful of Miracles,1962,Best Supporting Actor,nominee,Peter Falk,34,25-35
The Hustler,1962,Best Supporting Actor,nominee,George C. Scott,34,25-35
West Side Story,1962,Best Supporting Actress,winner,Rita Moreno,30,25-35
The Children's Hour,1962,Best Supporting Actress,nominee,Fay Bainter,68,> 65
The Roman Spring of Mrs. Stone,1962,Best Supporting Actress,nominee,Lotte Lenya,63,55-65
Summer and Smoke,1962,Best Supporting Actress,nominee,Una Merkel,58,55-65
Judgment at Nuremberg,1962,Best Supporting Actress,nominee,Judy Garland,39,35-45
To Kill a Mockingbird,1963,Best Actor,winner,Gregory Peck,47,45-55
Birdman of Alcatraz,1963,Best Actor,nominee,Burt Lancaster,49,45-55
Divorce - Italian Style,1963,Best Actor,nominee,Marcello Mastroianni,38,35-45
Days of Wine and Roses,1963,Best Actor,nominee,Jack Lemmon,38,35-45
Lawrence of Arabia,1963,Best Actor,nominee,Peter O'Toole,30,25-35
The Miracle Worker,1963,Best Actress,winner,Anne Bancroft,31,25-35
Long Day's Journey Into Night,1963,Best Actress,nominee,Katharine Hepburn,55,55-65
Whatever Happened to Baby Jane?,1963,Best Actress,nominee,Bette Davis,55,55-65
Sweet Bird of Youth,1963,Best Actress,nominee,Geraldine Page,38,35-45
Days of Wine and Roses,1963,Best Actress,nominee,Lee Remick,27,25-35
Sweet Bird of Youth,1963,Best Supporting Actor,winner,Ed Begley,62,55-65
Birdman of Alcatraz,1963,Best Supporting Actor,nominee,Telly Savalas,41,35-45
Lawrence of Arabia,1963,Best Supporting Actor,nominee,Omar Sharif,31,25-35
Whatever Happened to Baby Jane?,1963,Best Supporting Actor,nominee,Victor Buono,25,25-35
Billy Budd,1963,Best Supporting Actor,nominee,Terence Stamp,24,< 25
The Miracle Worker,1963,Best Supporting Actress,winner,Patty Duke,16,< 25
Birdman of Alcatraz,1963,Best Supporting Actress,nominee,Thelma Ritter,61,55-65
The Manchurian Candidate,1963,Best Supporting Actress,nominee,Angela Lansbury,37,35-45
Sweet Bird of Youth,1963,Best Supporting Actress,nominee,Shirley Knight,26,25-35
To Kill a Mockingbird,1963,Best Supporting Actress,nominee,Mary Badham,10,< 25
Lilies of the Field,1964,Best Actor,winner,Sidney Poitier,37,35-45
Cleopatra,1964,Best Actor,nominee,Rex Harrison,56,55-65
Hud,1964,Best Actor,nominee,Paul Newman,39,35-45
This Sporting Life,1964,Best Actor,nominee,Richard Harris,33,25-35
Tom Jones,1964,Best Actor,nominee,Albert Finney,27,25-35
Hud,1964,Best Actress,winner,Patricia Neal,38,35-45
This Sporting Life,1964,Best Actress,nominee,Rachel Roberts,36,35-45
The L-Shaped Room,1964,Best Actress,nominee,Leslie Caron,32,25-35
Irma la Douce,1964,Best Actress,nominee,Shirley MacLaine,29,25-35
Love with the Proper Stranger,1964,Best Actress,nominee,Natalie Wood,25,25-35
Hud,1964,Best Supporting Actor,winner,Melvyn Douglas,63,55-65
The Cardinal,1964,Best Supporting Actor,nominee,John Huston,57,55-65
Tom Jones,1964,Best Supporting Actor,nominee,Hugh Griffith,51,45-55
Twilight of Honor,1964,Best Supporting Actor,nominee,Nick Adams,32,25-35
"Captain Newman, M.D.",1964,Best Supporting Actor,nominee,Bobby Darin,27,25-35
The V.I.P.s,1964,Best Supporting Actress,winner,Margaret Rutherford,71,> 65
Tom Jones,1964,Best Supporting Actress,nominee,Dame Edith Evans,76,> 65
Lilies of the Field,1964,Best Supporting Actress,nominee,Lilia Skala,67,> 65
Tom Jones,1964,Best Supporting Actress,nominee,Joyce Redman,45,45-55
Tom Jones,1964,Best Supporting Actress,nominee,Diane Cilento,30,25-35
My Fair Lady,1965,Best Actor,winner,Rex Harrison,57,55-65
Zorba the Greek,1965,Best Actor,nominee,Anthony Quinn,49,45-55
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1965,Best Actor,nominee,Peter Sellers,39,35-45
Becket,1965,Best Actor,nominee,Richard Burton,39,35-45
Becket,1965,Best Actor,nominee,Peter O'Toole,32,25-35
Mary Poppins,1965,Best Actress,winner,Julie Andrews,29,25-35
Seance on a Wet Afternoon,1965,Best Actress,nominee,Kim Stanley,40,35-45
The Pumpkin Eater,1965,Best Actress,nominee,Anne Bancroft,33,25-35
The Unsinkable Molly Brown,1965,Best Actress,nominee,Debbie Reynolds,33,25-35
Marriage Italian Style,1965,Best Actress,nominee,Sophia Loren,30,25-35
Topkapi,1965,Best Supporting Actor,winner,Peter Ustinov,44,35-45
My Fair Lady,1965,Best Supporting Actor,nominee,Stanley Holloway,74,> 65
The Best Man,1965,Best Supporting Actor,nominee,Lee Tracy,67,> 65
Becket,1965,Best Supporting Actor,nominee,John Gielgud,61,55-65
Seven Days in May,1965,Best Supporting Actor,nominee,Edmond O'Brien,49,45-55
Zorba the Greek,1965,Best Supporting Actress,winner,Lila Kedrova,46,45-55
The Chalk Garden,1965,Best Supporting Actress,nominee,Dame Edith Evans,77,> 65
My Fair Lady,1965,Best Supporting Actress,nominee,Gladys Cooper,76,> 65
"Hush... Hush, Sweet Charlotte",1965,Best Supporting Actress,nominee,Agnes Moorehead,64,55-65
The Night of the Iguana,1965,Best Supporting Actress,nominee,Grayson Hall,42,35-45
Cat Ballou,1966,Best Actor,winner,Lee Marvin,42,35-45
Othello,1966,Best Actor,nominee,Laurence Olivier,58,55-65
Ship of Fools,1966,Best Actor,nominee,Oskar Werner,43,35-45
The Pawnbroker,1966,Best Actor,nominee,Rod Steiger,41,35-45
The Spy Who Came in From the Cold,1966,Best Actor,nominee,Richard Burton,40,35-45
Darling,1966,Best Actress,winner,Julie Christie,25,25-35
Ship of Fools,1966,Best Actress,nominee,Simone Signoret,45,45-55
The Sound of Music,1966,Best Actress,nominee,Julie Andrews,30,25-35
The Collector,1966,Best Actress,nominee,Samantha Eggar,27,25-35
A Patch of Blue,1966,Best Actress,nominee,Elizabeth Hartman,22,< 25
A Thousand Clowns,1966,Best Supporting Actor,winner,Martin Balsam,46,45-55
Othello,1966,Best Supporting Actor,nominee,Frank Finlay,39,35-45
The Flight of the Phoenix,1966,Best Supporting Actor,nominee,Ian Bannen,37,35-45
Ship of Fools,1966,Best Supporting Actor,nominee,Michael Dunn,31,25-35
Doctor Zhivago,1966,Best Supporting Actor,nominee,Tom Courtenay,29,25-35
A Patch of Blue,1966,Best Supporting Actress,winner,Shelley Winters,45,45-55
The Sound of Music,1966,Best Supporting Actress,nominee,Peggy Wood,74,> 65
Inside Daisy Clover,1966,Best Supporting Actress,nominee,Ruth Gordon,69,> 65
Othello,1966,Best Supporting Actress,nominee,Joyce Redman,47,45-55
Othello,1966,Best Supporting Actress,nominee,Maggie Smith,31,25-35
A Man for All Seasons,1967,Best Actor,winner,Paul Scofield,45,45-55
Who's Afraid of Virginia Woolf?,1967,Best Actor,nominee,Richard Burton,41,35-45
The Sand Pebbles,1967,Best Actor,nominee,Steve McQueen,37,35-45
Alfie,1967,Best Actor,nominee,Michael Caine,34,25-35
The Russians Are Coming the Russians Are Coming,1967,Best Actor,nominee,Alan Arkin,33,25-35
Who's Afraid of Virginia Woolf?,1967,Best Actress,winner,Elizabeth Taylor,35,35-45
The Shop on Main Street,1967,Best Actress,nominee,Ida Kaminska,67,> 65
A Man and a Woman,1967,Best Actress,nominee,Anouk Aimee,34,25-35
Morgan!,1967,Best Actress,nominee,Vanessa Redgrave,30,25-35
Georgy Girl,1967,Best Actress,nominee,Lynn Redgrave,24,< 25
The Fortune Cookie,1967,Best Supporting Actor,winner,Walter Matthau,46,45-55
Georgy Girl,1967,Best Supporting Actor,nominee,James Mason,57,55-65
A Man for All Seasons,1967,Best Supporting Actor,nominee,Robert Shaw,39,35-45
The Sand Pebbles,1967,Best Supporting Actor,nominee,Mako,33,25-35
Who's Afraid of Virginia Woolf?,1967,Best Supporting Actor,nominee,George Segal,33,25-35
Who's Afraid of Virginia Woolf?,1967,Best Supporting Actress,winner,Sandy Dennis,29,25-35
Hawaii,1967,Best Supporting Actress,nominee,Jocelyne Lagarde,62,55-65
A Man for All Seasons,1967,Best Supporting Actress,nominee,Wendy Hiller,54,45-55
You're a Big Boy Now,1967,Best Supporting Actress,nominee,Geraldine Page,42,35-45
Alfie,1967,Best Supporting Actress,nominee,Vivien Merchant,37,35-45
In the Heat of the Night,1968,Best Actor,winner,Rod Steiger,43,35-45
Guess Who's Coming to Dinner,1968,Best Actor,nominee,Spencer Tracy,68,> 65
Cool Hand Luke,1968,Best Actor,nominee,Paul Newman,43,35-45
Bonnie and Clyde,1968,Best Actor,nominee,Warren Beatty,31,25-35
The Graduate,1968,Best Actor,nominee,Dustin Hoffman,30,25-35
Guess Who's Coming to Dinner,1968,Best Actress,winner,Katharine Hepburn,60,55-65
The Whisperers,1968,Best Actress,nominee,Dame Edith Evans,80,> 65
Wait Until Dark,1968,Best Actress,nominee,Audrey Hepburn,38,35-45
The Graduate,1968,Best Actress,nominee,Anne Bancroft,36,35-45
Bonnie and Clyde,1968,Best Actress,nominee,Faye Dunaway,27,25-35
Cool Hand Luke,1968,Best Supporting Actor,winner,George Kennedy,43,35-45
Guess Who's Coming to Dinner,1968,Best Supporting Actor,nominee,Cecil Kellaway,77,> 65
The Dirty Dozen,1968,Best Supporting Actor,nominee,John Cassavetes,38,35-45
Bonnie and Clyde,1968,Best Supporting Actor,nominee,Gene Hackman,38,35-45
Bonnie and Clyde,1968,Best Supporting Actor,nominee,Michael J. Pollard,28,25-35
Bonnie and Clyde,1968,Best Supporting Actress,winner,Estelle Parsons,40,35-45
Barefoot in the Park,1968,Best Supporting Actress,nominee,Mildred Natwick,62,55-65
Guess Who's Coming to Dinner,1968,Best Supporting Actress,nominee,Beah Richards,47,45-55
Thoroughly Modern Millie,1968,Best Supporting Actress,nominee,Carol Channing,47,45-55
The Graduate,1968,Best Supporting Actress,nominee,Katharine Ross,28,25-35
Charly,1969,Best Actor,winner,Cliff Robertson,45,45-55
Oliver!,1969,Best Actor,nominee,Ron Moody,45,45-55
The Lion in Winter,1969,Best Actor,nominee,Peter O'Toole,36,35-45
The Fixer,1969,Best Actor,nominee,Alan Bates,35,35-45
The Heart Is a Lonely Hunter,1969,Best Actor,nominee,Alan Arkin,35,35-45
The Lion in Winter,1969,Best Actress,winner,Katharine Hepburn,61,55-65
Funny Girl,1969,Best Actress,winner,Barbra Streisand,26,25-35
The Subject Was Roses,1969,Best Actress,nominee,Patricia Neal,43,35-45
"Rachel, Rachel",1969,Best Actress,nominee,Joanne Woodward,39,35-45
Isadora,1969,Best Actress,nominee,Vanessa Redgrave,32,25-35
The Subject Was Roses,1969,Best Supporting Actor,winner,Jack Albertson,61,55-65
The Producers,1969,Best Supporting Actor,nominee,Gene Wilder,35,35-45
Star!,1969,Best Supporting Actor,nominee,Daniel Massey,35,35-45
Faces,1969,Best Supporting Actor,nominee,Seymour Cassel,34,25-35
Oliver!,1969,Best Supporting Actor,nominee,Jack Wild,16,< 25
Rosemary's Baby,1969,Best Supporting Actress,winner,Ruth Gordon,72,> 65
Funny Girl,1969,Best Supporting Actress,nominee,Kay Medford,54,45-55
"Rachel, Rachel",1969,Best Supporting Actress,nominee,Estelle Parsons,41,35-45
Faces,1969,Best Supporting Actress,nominee,Lynn Carlin,31,25-35
The Heart Is a Lonely Hunter,1969,Best Supporting Actress,nominee,Sondra Locke,24,< 25
True Grit,1970,Best Actor,winner,John Wayne,62,55-65
Anne of the Thousand Days,1970,Best Actor,nominee,Richard Burton,44,35-45
"Goodbye, Mr. Chips",1970,Best Actor,nominee,Peter O'Toole,37,35-45
Midnight Cowboy,1970,Best Actor,nominee,Dustin Hoffman,32,25-35
Midnight Cowboy,1970,Best Actor,nominee,Jon Voight,31,25-35
The Prime of Miss Jean Brodie,1970,Best Actress,winner,Maggie Smith,35,35-45
The Happy Ending,1970,Best Actress,nominee,Jean Simmons,41,35-45
"They Shoot Horses, Don't They?",1970,Best Actress,nominee,Jane Fonda,32,25-35
Anne of the Thousand Days,1970,Best Actress,nominee,Genevieve Bujold,27,25-35
